index,source,reference,prediction,inference_time_ms,source_length,reference_length,prediction_length,exact_match,edit_distance,normalized_edit_distance,cer,similarity,char_accuracy,length_ratio
777,qiwi,क्यूआईडब्ल्यूआई,क़िवी,177.42609977722168,4,15,5,0,14,0.9333333333333333,0.9333333333333333,0.06666666666666665,0.06666666666666667,0.3333333333333333
1,phwcs,पीएचडब्ल्यूसीएस,फफव्स,200.23417472839355,5,15,5,0,13,0.8666666666666667,0.8666666666666667,0.1333333333333333,0.0,0.3333333333333333
1546,qwvga,क्यूडब्ल्यूवीजीए,क्व्वगा,181.37431144714355,5,16,7,0,12,0.75,0.75,0.25,0.125,0.4375
586,win,डब्ल्यूआईएन,विन,188.08841705322266,3,11,3,0,10,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.0,0.2727272727272727
1793,dow,डीओडब्ल्यू,डोव,168.28012466430664,3,10,3,0,9,0.9,0.9,0.09999999999999998,0.1,0.3
1791,peeechdablyuseees,पीएचडब्ल्यूसीएस,पीचडेबललीजीज,200.8047103881836,17,15,12,0,9,0.6,0.6,0.4,0.26666666666666666,0.8
160,wef,डब्ल्यूईएफ,वेई,189.49103355407715,3,10,3,0,9,0.9,0.9,0.09999999999999998,0.0,0.3
478,kuarantine,क्वॉरेनटाइन,कुआरांटीने,201.8413543701172,10,11,10,0,8,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.09090909090909091,0.9090909090909091
1610,empeedablyoopeepeeseeel,एमपीडब्ल्यूपीपीसीएल,इंपीडबललूूपीीीील,217.03743934631348,23,19,16,0,8,0.42105263157894735,0.42105263157894735,0.5789473684210527,0.3684210526315789,0.8421052631578947
6791,kping,कपिंग,केपीआईएनजी,187.02459335327148,5,5,10,0,8,0.8,1.6,0.19999999999999996,0.2,2.0
2931,dwn,डीडब्ल्यूएन,डीवीएन,33.45918655395508,3,11,6,0,7,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.5454545454545454
1523,nrdwp,एनआरडीडब्ल्यूपी,एनआरडीवीपी,54.94070053100586,5,15,10,0,7,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.4,0.6666666666666666
346,irw,आईआरडब्ल्यू,आईआरवी,186.50221824645996,3,11,6,0,7,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.5454545454545454
4733,rswm,आरएसडब्ल्यूएम,आरएसवीएम,44.07238960266113,4,13,8,0,7,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.3076923076923077,0.6153846153846154
3414,wgpl,डब्ल्यूजीपीएल,वीजीपीएल,43.8230037689209,4,13,8,0,7,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.0,0.6153846153846154
7601,darp,दर्प,डीयूआरपी,171.25940322875977,4,4,8,0,7,0.875,1.75,0.125,0.0,2.0
732,aicw,एआईसीडब्ल्यू,एआईसीवी,38.54823112487793,4,12,7,0,7,0.5833333333333334,0.5833333333333334,0.41666666666666663,0.4166666666666667,0.5833333333333334
3314,cwr,सीडब्ल्यूआर,सीवीआर,176.23615264892578,3,11,6,0,7,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.5454545454545454
2672,bwts,बीडब्ल्यूटीएस,बीवीटीएस,192.37184524536133,4,13,8,0,7,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.15384615384615385,0.6153846153846154
