index,source,reference,prediction,inference_time_ms,source_length,reference_length,prediction_length,exact_match,edit_distance,normalized_edit_distance,cer,similarity,char_accuracy,length_ratio
0,maitrologist,मैट्रोलॉजिस्ट,मैट्रोलॉजिस्ट,229.57301139831543,12,13,13,1,0,0.0,0.0,1.0,1.0,1.0
1,phwcs,पीएचडब्ल्यूसीएस,फफव्स,200.23417472839355,5,15,5,0,13,0.8666666666666667,0.8666666666666667,0.1333333333333333,0.0,0.3333333333333333
2,pratidwandiyon,प्रतिद्वन्दियों,प्रतिद्वां्दियों,223.00481796264648,14,15,16,0,2,0.125,0.13333333333333333,0.875,0.5333333333333333,1.0666666666666667
3,pratiyukti,प्रतियुक्ति,प्रतियुक्ति,210.06178855895996,10,11,11,1,0,0.0,0.0,1.0,1.0,1.0
4,eksisatens,एक्सिसटेंस,एक्सिसेटेंस,224.56789016723633,10,10,11,0,1,0.09090909090909091,0.1,0.9090909090909091,0.6,1.1
5,filmnirmata,फ़िल्मनिर्माता,फिल्मनिर्माता,77.50678062438965,11,14,13,0,1,0.07142857142857142,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.9285714285714286
6,adrgh,अद्र्घ,अद्र्घ,195.50299644470215,5,6,6,1,0,0.0,0.0,1.0,1.0,1.0
7,ladhege,लड़ेगे,लढ़ेगे,196.29836082458496,7,6,6,0,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0
8,administresh,एडमिनिस्ट्रेश,अडमिनिस्ट्रेश,219.06685829162598,12,13,13,0,1,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.9230769230769231,1.0
9,shiwalapurwa,शिवालापुरवा,शिवालापुरवा,211.6551399230957,12,11,11,1,0,0.0,0.0,1.0,1.0,1.0
10,nirmaali,निर्माली,निर्माली,207.09848403930664,8,8,8,1,0,0.0,0.0,1.0,1.0,1.0
11,chootie,चूतीए,चूटी,193.97735595703125,7,5,4,0,2,0.4,0.4,0.6,0.6,0.8
12,kursiyo,कुर्सियॉ,कुर्सियो,201.11823081970215,7,8,8,0,1,0.125,0.125,0.875,0.875,1.0
13,parivaarwaale,परिवारवाले,परिवारवाले,59.13829803466797,13,10,10,1,0,0.0,0.0,1.0,1.0,1.0
14,vyavasthawirodhi,व्यवस्थाविरोधी,व्यवस्थाविरोधी,219.984769821167,16,14,14,1,0,0.0,0.0,1.0,1.0,1.0
15,enseeaardablyusee,एनसीआरडब्ल्यूसी,एंसीअर्डबल्यूसी,240.187406539917,17,15,15,0,4,0.26666666666666666,0.26666666666666666,0.7333333333333334,0.6666666666666666,1.0
16,yaarab,यारब,यारब,185.81438064575195,6,4,4,1,0,0.0,0.0,1.0,1.0,1.0
17,shivaalapurva,शिवालापुरवा,शिवालापूर्व,213.66214752197266,13,11,11,0,3,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.7272727272727273,1.0
18,deedablyuen,डीडब्ल्यूएन,डीडब्ल्युएं,212.37587928771973,11,11,11,0,2,0.18181818181818182,0.18181818181818182,0.8181818181818181,0.8181818181818182,1.0
19,praansangalee,प्राणसंगली,प्रांसंगली,60.7914924621582,13,10,10,0,1,0.1,0.1,0.9,0.9,1.0
20,sainapur,सैनपुर,सैनापुर,201.8883228302002,8,6,7,0,1,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.5,1.1666666666666667
21,dimak,दिमाक,दिमाक,189.04805183410645,5,5,5,1,0,0.0,0.0,1.0,1.0,1.0
22,jyadaa,ज़यादा,ज्यादा,188.7664794921875,6,6,6,0,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0
23,jadule,जडूले,जड़ुले,186.69652938842773,6,5,6,0,2,0.3333333333333333,0.4,0.6666666666666667,0.4,1.2
24,baatah,बातः,बातह,25.1462459564209,6,4,4,0,1,0.25,0.25,0.75,0.75,1.0
25,viraangnaaon,वीरांगनाओं,विरांगनाओं,56.023597717285156,12,10,10,0,1,0.1,0.1,0.9,0.9,1.0
26,udhegee,उड़ेगी,उधेगी,188.9643669128418,7,6,5,0,2,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.8333333333333334
27,wishwas,विष्वास,विशवास,215.78335762023926,7,7,6,0,2,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.8571428571428571
28,aaryanas,आर्यनस,आर्यनास,192.7173137664795,8,6,7,0,1,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.8333333333333334,1.1666666666666667
29,shamtal,शमलात,शमतल,189.12601470947266,7,5,4,0,3,0.6,0.6,0.4,0.4,0.8
30,chatakate,चटकाते,चटकते,30.88235855102539,9,6,5,0,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5,0.8333333333333334
31,moujud,मौजुद,मौउजुद,34.86919403076172,6,5,6,0,1,0.16666666666666666,0.2,0.8333333333333334,0.4,1.2
32,dhumrapaan,धुम्रपान,धूमरापान,192.02256202697754,10,8,8,0,3,0.375,0.375,0.625,0.625,1.0
33,adivadiyon,आदिवादियों,आदिवादियों,59.37552452087402,10,10,10,1,0,0.0,0.0,1.0,1.0,1.0
34,kavyavidhaaon,काव्यविधाओं,काव्यविधाओं,208.82725715637207,13,11,11,1,0,0.0,0.0,1.0,1.0,1.0
35,vigyaanavaadiyon,विज्ञानवादियों,विज्ञानवादियों,227.57506370544434,16,14,14,1,0,0.0,0.0,1.0,1.0,1.0
36,tinkaa,टिंका,टिंका,193.46952438354492,6,5,5,1,0,0.0,0.0,1.0,1.0,1.0
37,neemkathana,नीमकाथाना,नीमकथाना,192.47102737426758,11,9,8,0,1,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.4444444444444444,0.8888888888888888
38,rajnitikaaron,राजनीतिकारों,राजनीतिकारों,205.003023147583,13,12,12,1,0,0.0,0.0,1.0,1.0,1.0
39,ubaala,उबाला,उबाला,200.46496391296387,6,5,5,1,0,0.0,0.0,1.0,1.0,1.0
40,khaayal,क़ायल,खायल,187.48712539672852,7,5,4,0,2,0.4,0.4,0.6,0.0,0.8
41,jivati,जीवति,जिवती,31.296491622924805,6,5,5,0,2,0.4,0.4,0.6,0.6,1.0
42,rookvaaee,रुकवाई,रूकवाई,36.582231521606445,9,6,6,0,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0
43,nigmaayukt,निगमायुक्त,निगमायुक्त,199.31578636169434,10,10,10,1,0,0.0,0.0,1.0,1.0,1.0
44,uthaaeange,उठाएँगे,उठाएंगे,39.50309753417969,10,7,7,0,1,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.8571428571428571,1.0
45,badhane,बड़ने,बढ़ने,190.14501571655273,7,5,5,0,1,0.2,0.2,0.8,0.8,1.0
46,hathdharmitaa,हठधर्मिता,हठधर्मिता,58.147430419921875,13,9,9,1,0,0.0,0.0,1.0,1.0,1.0
47,extremadura,एक्स्ट्रीमाडुरा,एक्स्ट्रेमदुरा,221.3418483734131,11,15,14,0,3,0.2,0.2,0.8,0.6,0.9333333333333333
48,samruddhiyon,समृद्धियों,समरुद्धियों,66.45536422729492,12,10,11,0,2,0.18181818181818182,0.2,0.8181818181818181,0.2,1.1
49,rodrej,रोडरेज,रोडरेज,195.97434997558594,6,6,6,1,0,0.0,0.0,1.0,1.0,1.0
50,lubhaavna,लुभावना,लुभावना,43.866872787475586,9,7,7,1,0,0.0,0.0,1.0,1.0,1.0
51,tinka,टिंका,टिंका,192.37709045410156,5,5,5,1,0,0.0,0.0,1.0,1.0,1.0
52,jhaugunj,झाउगंज,झौगुंज,193.05133819580078,8,6,6,0,3,0.5,0.5,0.5,0.5,1.0
53,antarwisht,अंतर्विष्ट,अन्तर्विष्ट,225.97503662109375,10,10,11,0,2,0.18181818181818182,0.2,0.8181818181818181,0.1,1.1
54,istraailiyon,इस्त्राइलियों,इस्त्राइलियों,75.51741600036621,12,13,13,1,0,0.0,0.0,1.0,1.0,1.0
55,nyootriyo,न्यूट्रियो,न्यूत्रियो,193.57562065124512,9,10,10,0,1,0.1,0.1,0.9,0.9,1.0
56,mukhyaadhyaapika,मुख्याध्यापिका,मुख्याध्यापिका,213.7601375579834,16,14,14,1,0,0.0,0.0,1.0,1.0,1.0
