index,source,reference,prediction,inference_time_ms,source_length,reference_length,prediction_length,exact_match,edit_distance,normalized_edit_distance,cer,similarity,char_accuracy,length_ratio
0,maitrologist,मैट्रोलॉजिस्ट,मेट्रोलॉजिस्ट,347.3780155181885,12,13,13,0,1,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.9230769230769231,1.0
1,phwcs,पीएचडब्ल्यूसीएस,फ्व्स,169.37541961669922,5,15,5,0,12,0.8,0.8,0.19999999999999996,0.0,0.3333333333333333
2,pratidwandiyon,प्रतिद्वन्दियों,प्रतिद्वंदियों,395.6918716430664,14,15,14,0,2,0.13333333333333333,0.13333333333333333,0.8666666666666667,0.5333333333333333,0.9333333333333333
3,pratiyukti,प्रतियुक्ति,प्रतियुक्ति,290.0390625,10,11,11,1,0,0.0,0.0,1.0,1.0,1.0
4,eksisatens,एक्सिसटेंस,एक्सीसेटेंस,267.78388023376465,10,10,11,0,2,0.18181818181818182,0.2,0.8181818181818181,0.5,1.1
5,filmnirmata,फ़िल्मनिर्माता,फिल्मनिर्माता,327.74996757507324,11,14,13,0,1,0.07142857142857142,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.9285714285714286
6,adrgh,अद्र्घ,अद्र्घ,145.91670036315918,5,6,6,1,0,0.0,0.0,1.0,1.0,1.0
7,ladhege,लड़ेगे,लढ़ेगे,149.7170925140381,7,6,6,0,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0
8,administresh,एडमिनिस्ट्रेश,एडमिनिस्ट्रेश,313.51184844970703,12,13,13,1,0,0.0,0.0,1.0,1.0,1.0
9,shiwalapurwa,शिवालापुरवा,शिवालापुरवा,279.7398567199707,12,11,11,1,0,0.0,0.0,1.0,1.0,1.0
10,nirmaali,निर्माली,निर्माली,190.55914878845215,8,8,8,1,0,0.0,0.0,1.0,1.0,1.0
11,chootie,चूतीए,चूटी,122.56956100463867,7,5,4,0,2,0.4,0.4,0.6,0.6,0.8
12,kursiyo,कुर्सियॉ,कुर्सियो,194.56768035888672,7,8,8,0,1,0.125,0.125,0.875,0.875,1.0
13,parivaarwaale,परिवारवाले,परिवारवाले,268.0978775024414,13,10,10,1,0,0.0,0.0,1.0,1.0,1.0
14,vyavasthawirodhi,व्यवस्थाविरोधी,व्यवस्थाविरोधी,350.93045234680176,16,14,14,1,0,0.0,0.0,1.0,1.0,1.0
15,enseeaardablyusee,एनसीआरडब्ल्यूसी,एन्सीअर्डबल्यूसी,413.47384452819824,17,15,16,0,4,0.25,0.26666666666666666,0.75,0.13333333333333333,1.0666666666666667
16,yaarab,यारब,यारब,120.92876434326172,6,4,4,1,0,0.0,0.0,1.0,1.0,1.0
17,shivaalapurva,शिवालापुरवा,शिवालपूर्व,244.00568008422852,13,11,10,0,4,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.5454545454545454,0.9090909090909091
18,deedablyuen,डीडब्ल्यूएन,डीडब्लायुएं,292.2501564025879,11,11,11,0,3,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.7272727272727273,1.0
19,praansangalee,प्राणसंगली,प्राणसंगली,242.79546737670898,13,10,10,1,0,0.0,0.0,1.0,1.0,1.0
20,sainapur,सैनपुर,सैनापुर,186.24567985534668,8,6,7,0,1,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.5,1.1666666666666667
21,dimak,दिमाक,दिमक,129.39071655273438,5,5,4,0,1,0.2,0.2,0.8,0.6,0.8
22,jyadaa,ज़यादा,ज्यादा,151.39365196228027,6,6,6,0,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0
23,jadule,जडूले,जडुले,152.33397483825684,6,5,5,0,1,0.2,0.2,0.8,0.8,1.0
24,baatah,बातः,बातह,126.44410133361816,6,4,4,0,1,0.25,0.25,0.75,0.75,1.0
25,viraangnaaon,वीरांगनाओं,विरांगनाओं,275.64167976379395,12,10,10,0,1,0.1,0.1,0.9,0.9,1.0
26,udhegee,उड़ेगी,उधेगी,142.43793487548828,7,6,5,0,2,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.8333333333333334
27,wishwas,विष्वास,विश्वास,170.6552505493164,7,7,7,0,1,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.8571428571428571,1.0
28,aaryanas,आर्यनस,आर्यनास,186.8143081665039,8,6,7,0,1,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.8333333333333334,1.1666666666666667
29,shamtal,शमलात,शमताल,141.56079292297363,7,5,5,0,2,0.4,0.4,0.6,0.6,1.0
