index,source,reference,prediction,inference_time_ms,source_length,reference_length,prediction_length,exact_match,edit_distance,normalized_edit_distance,cer,similarity,char_accuracy,length_ratio
0,maitrologist,मैट्रोलॉजिस्ट,मैट्रोलॉजिस्ट,1606.841802597046,12,13,13,1,0,0.0,0.0,1.0,1.0,1.0
1,phwcs,पीएचडब्ल्यूसीएस,फ़्व्क्स,388.962984085083,5,15,8,0,12,0.8,0.8,0.19999999999999996,0.06666666666666667,0.5333333333333333
2,pratidwandiyon,प्रतिद्वन्दियों,प्रतिद्वंदियों,368.2749271392822,14,15,14,0,2,0.13333333333333333,0.13333333333333333,0.8666666666666667,0.5333333333333333,0.9333333333333333
3,pratiyukti,प्रतियुक्ति,प्रतियुक्ति,388.2584571838379,10,11,11,1,0,0.0,0.0,1.0,1.0,1.0
4,eksisatens,एक्सिसटेंस,एकसिसटन्स,378.673791885376,10,10,9,0,3,0.3,0.3,0.7,0.2,0.9
5,filmnirmata,फ़िल्मनिर्माता,फ़िल्मनिर्माता,383.4202289581299,11,14,14,1,0,0.0,0.0,1.0,1.0,1.0
6,adrgh,अद्र्घ,अड़घ,352.7653217315674,5,6,4,0,4,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.16666666666666666,0.6666666666666666
7,ladhege,लड़ेगे,लढेगे,349.017858505249,7,6,5,0,2,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.8333333333333334
8,administresh,एडमिनिस्ट्रेश,अडमिनिस्ट्रेश,381.5114498138428,12,13,13,0,1,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.9230769230769231,1.0
9,shiwalapurwa,शिवालापुरवा,शिवालापुरवा,442.5086975097656,12,11,11,1,0,0.0,0.0,1.0,1.0,1.0
10,nirmaali,निर्माली,निरमाली,346.2355136871338,8,8,7,0,1,0.125,0.125,0.875,0.375,0.875
11,chootie,चूतीए,चूटी,333.6644172668457,7,5,4,0,2,0.4,0.4,0.6,0.6,0.8
12,kursiyo,कुर्सियॉ,कुर्सियो,354.5262813568115,7,8,8,0,1,0.125,0.125,0.875,0.875,1.0
