source,reference,LSTM_pred,Transformer_pred,NVIDIA_Nemo_pred,NVIDIA_Small_pred,correct_models,num_unique
phwcs,पीएचडब्ल्यूसीएस,फफव्स,फ्व्स,फ़्व्क्स,फ्वक्स,None,4
eksisatens,एक्सिसटेंस,एक्सिसेटेंस,एक्सीसेटेंस,एकसिसटन्स,एक्सिसटेंस,NVIDIA_Small,4
enseeaardablyusee,एनसीआरडब्ल्यूसी,एंसीअर्डबल्यूसी,एन्सीअर्डबल्यूसी,एन्सीअर्डेबलयूज़,एन्सीअर्डबलीयूसी,None,4
shivaalapurva,शिवालापुरवा,शिवालापूर्व,शिवालपूर्व,शिवालापुरवा,शिवालापुर्वा,NVIDIA_Nemo,4
deedablyuen,डीडब्ल्यूएन,डीडब्ल्युएं,डीडब्लायुएं,दिडेबल्यूएन,दिडेबलीउएन,None,4
jadule,जडूले,जड़ुले,जडुले,जदुले,जादुले,None,4
shamtal,शमलात,शमतल,शमताल,शांतल,शम्तल,None,4
extremadura,एक्स्ट्रीमाडुरा,एक्स्ट्रेमदुरा,एक्सट्रीमदुरा,एक्स्ट्रीमादुरा,एक्स्ट्रेमादुरा,None,4
jhaiyaan,झाइयां,झइयां,झैयां,ज्हईयान,झैयााँ,None,4
dangon,डंगों,दंगों,डांगों,डांगन,दंगन,None,4
chhidey,छिड़े,छिडेय,छिड़े,च्हिडेई,छिदे,Transformer,4
phektraree,फेक्ट्ररी,फेकत्ररी,फेकत्रारी,फेक्टरी,फेक्ट्ररी,NVIDIA_Small,4
thakurvadee,ठाकुरवादी,ठाकुरवदी,ठाकुरवादी,थाकुरवाडी,थकुरवाड़ी,Transformer,4
outomaitikali,औटोमैटिकली,ऑउटोमैटिकली,आउटोमेटिकली,औटोमाईटिकाली,ऑटोमैटिकली,None,4
seedeeyaan,सीडीयां,सीदीयाँ,सीड़ीयां,सीदियान,सीडीयाँ,None,4
shaksubahey,शकसुबहे,शक्सुबहहे,शक्सुबाहेय,शक्शुबहै,शक्सुबहे,None,4
mataantaran,मतांतरण,मतानतरण,मतांतरण,मातान्तरन,मातांतरण,Transformer,4
alaymani,अलयमनी,अलयमानी,अलयमणि,अलैमनी,अलायमनी,None,4
echajedateesee,एचजेडटीसी,इचाजेदतीसी,इचजेदतीसी,अचाजेदतिसी,एचाजेडेटीसी,None,4
rajnichi,राजनीचि,रजनीची,राजनीची,राजनिचि,राजनिची,None,4
