index,source,reference,prediction,inference_time_ms,source_length,reference_length,prediction_length,exact_match,edit_distance,normalized_edit_distance,cer,similarity,char_accuracy,length_ratio
0,maitrologist,मैट्रोलॉजिस्ट,मैट्रोलॉजिस्ट,1245.283842086792,12,13,13,1,0,0.0,0.0,1.0,1.0,1.0
1,phwcs,पीएचडब्ल्यूसीएस,फ्वक्स,369.997501373291,5,15,6,0,13,0.8666666666666667,0.8666666666666667,0.1333333333333333,0.0,0.4
2,pratidwandiyon,प्रतिद्वन्दियों,प्रतिद्वंदियों,443.9249038696289,14,15,14,0,2,0.13333333333333333,0.13333333333333333,0.8666666666666667,0.5333333333333333,0.9333333333333333
3,pratiyukti,प्रतियुक्ति,प्रतियुक्ति,429.7213554382324,10,11,11,1,0,0.0,0.0,1.0,1.0,1.0
4,eksisatens,एक्सिसटेंस,एक्सिसटेंस,458.6830139160156,10,10,10,1,0,0.0,0.0,1.0,1.0,1.0
5,filmnirmata,फ़िल्मनिर्माता,फ़िल्मनिर्माता,407.7308177947998,11,14,14,1,0,0.0,0.0,1.0,1.0,1.0
6,adrgh,अद्र्घ,अड्रघ,373.5225200653076,5,6,5,0,2,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.5,0.8333333333333334
7,ladhege,लड़ेगे,लढ़ेंगे,356.4338684082031,7,6,7,0,2,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.5,1.1666666666666667
8,administresh,एडमिनिस्ट्रेश,अड्मिनिस्ट्रेश,477.3104190826416,12,13,14,0,2,0.14285714285714285,0.15384615384615385,0.8571428571428572,0.07692307692307693,1.0769230769230769
9,shiwalapurwa,शिवालापुरवा,शिवालापुरवा,441.0898685455322,12,11,11,1,0,0.0,0.0,1.0,1.0,1.0
10,nirmaali,निर्माली,निर्माली,341.6943550109863,8,8,8,1,0,0.0,0.0,1.0,1.0,1.0
11,chootie,चूतीए,चूटी,337.9547595977783,7,5,4,0,2,0.4,0.4,0.6,0.6,0.8
12,kursiyo,कुर्सियॉ,कुर्सियो,384.0019702911377,7,8,8,0,1,0.125,0.125,0.875,0.875,1.0
13,parivaarwaale,परिवारवाले,परिवारवाले,380.7249069213867,13,10,10,1,0,0.0,0.0,1.0,1.0,1.0
14,vyavasthawirodhi,व्यवस्थाविरोधी,व्यवस्थाविरोधी,477.45323181152344,16,14,14,1,0,0.0,0.0,1.0,1.0,1.0
15,enseeaardablyusee,एनसीआरडब्ल्यूसी,एन्सीअर्डबलीयूसी,578.9406299591064,17,15,16,0,5,0.3125,0.3333333333333333,0.6875,0.13333333333333333,1.0666666666666667
16,yaarab,यारब,याराब,337.2762203216553,6,4,5,0,1,0.2,0.25,0.8,0.75,1.25
17,shivaalapurva,शिवालापुरवा,शिवालापुर्वा,487.08653450012207,13,11,12,0,1,0.08333333333333333,0.09090909090909091,0.9166666666666666,0.8181818181818182,1.0909090909090908
18,deedablyuen,डीडब्ल्यूएन,दिडेबलीउएन,506.1769485473633,11,11,10,0,7,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.9090909090909091
19,praansangalee,प्राणसंगली,प्राणसंगली,421.35071754455566,13,10,10,1,0,0.0,0.0,1.0,1.0,1.0
20,sainapur,सैनपुर,सैनापुर,384.8133087158203,8,6,7,0,1,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.5,1.1666666666666667
21,dimak,दिमाक,दिमक,349.4701385498047,5,5,4,0,1,0.2,0.2,0.8,0.6,0.8
22,jyadaa,ज़यादा,ज्यादा,340.87133407592773,6,6,6,0,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0
23,jadule,जडूले,जादुले,372.4527359008789,6,5,6,0,3,0.5,0.6,0.5,0.2,1.2
24,baatah,बातः,बाताह,338.5734558105469,6,4,5,0,2,0.4,0.5,0.6,0.75,1.25
25,viraangnaaon,वीरांगनाओं,विरांगनाओं,413.3889675140381,12,10,10,0,1,0.1,0.1,0.9,0.9,1.0
26,udhegee,उड़ेगी,उधेगी,374.896764755249,7,6,5,0,2,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.8333333333333334
27,wishwas,विष्वास,विश्वास,400.3443717956543,7,7,7,0,1,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.8571428571428571,1.0
28,aaryanas,आर्यनस,आर्यनस,450.5615234375,8,6,6,1,0,0.0,0.0,1.0,1.0,1.0
29,shamtal,शमलात,शम्तल,382.1539878845215,7,5,5,0,3,0.6,0.6,0.4,0.4,1.0
30,chatakate,चटकाते,चटकाते,382.57884979248047,9,6,6,1,0,0.0,0.0,1.0,1.0,1.0
31,moujud,मौजुद,मौजूद,344.5730209350586,6,5,5,0,1,0.2,0.2,0.8,0.8,1.0
32,dhumrapaan,धुम्रपान,धूम्रपान,409.44910049438477,10,8,8,0,1,0.125,0.125,0.875,0.875,1.0
33,adivadiyon,आदिवादियों,अदिवादीयों,444.8976516723633,10,10,10,0,2,0.2,0.2,0.8,0.8,1.0
34,kavyavidhaaon,काव्यविधाओं,काव्यविद्हाओं,447.48377799987793,13,11,13,0,3,0.23076923076923078,0.2727272727272727,0.7692307692307692,0.6363636363636364,1.1818181818181819
