index,source,reference,prediction,inference_time_ms,source_length,reference_length,prediction_length,exact_match,edit_distance,normalized_edit_distance,cer,similarity,char_accuracy,length_ratio
1353,distributary,ड्रिस्ट्रीब्यूट्री,dɪstrɪˈbjuːtərɪ,482.39994049072266,12,18,15,0,18,1.0,1.0,0.0,0.0,0.8333333333333334
4057,dublin,डबलिन,डब्ल्यूब्ल्यूब्ल्यू,415.79508781433105,6,5,19,0,16,0.8421052631578947,3.2,0.1578947368421053,0.4,3.8
2824,distributary,डिस्ट्रीब्यूटरी,dɪstrɪˈbjuːtərɪ,481.5366268157959,12,15,15,0,15,1.0,1.0,0.0,0.0,1.0
1956,mpwppcl,एमपीडब्ल्यूपीपीसीएल,म्प्व्प्चल,368.0529594421387,7,19,10,0,14,0.7368421052631579,0.7368421052631579,0.26315789473684215,0.05263157894736842,0.5263157894736842
4957,communications,कम्यूनिकेशन्स,sampark,324.72991943359375,14,13,7,0,13,1.0,1.0,0.0,0.0,0.5384615384615384
1,phwcs,पीएचडब्ल्यूसीएस,फ़्व्क्स,388.962984085083,5,15,8,0,12,0.8,0.8,0.19999999999999996,0.06666666666666667,0.5333333333333333
1935,ncrwc,एनसीआरडब्ल्यूसी,नक्रव्क,386.52563095092773,5,15,7,0,12,0.8,0.8,0.19999999999999996,0.0,0.4666666666666667
1165,gaandchubhonachoosnachhote,गांडचुभोनाचूसनाछोटे,गांद्चुब्होञाचोञ्चोते,493.62707138061523,26,19,21,0,12,0.5714285714285714,0.631578947368421,0.4285714285714286,0.15789473684210525,1.105263157894737
732,aicw,एआईसीडब्ल्यू,अइक्व,354.0022373199463,4,12,5,0,11,0.9166666666666666,0.9166666666666666,0.08333333333333337,0.0,0.4166666666666667
1546,qwvga,क्यूडब्ल्यूवीजीए,क्व्व्वगा,360.10026931762695,5,16,9,0,11,0.6875,0.6875,0.3125,0.125,0.5625
7473,economic,इकोनोमिक,अर्थशास्त्रिक,372.8363513946533,8,8,13,0,11,0.8461538461538461,1.375,0.15384615384615385,0.0,1.625
3945,independence,इंडिपेंडेंस,अज़ादगी,358.68120193481445,12,11,7,0,11,1.0,1.0,0.0,0.0,0.6363636363636364
3507,wpsc,डब्ल्यूपीएससी,व्प्स्क,351.2992858886719,4,13,7,0,10,0.7692307692307693,0.7692307692307693,0.23076923076923073,0.0,0.5384615384615384
3393,dwt,डीडब्ल्यूटी,द्वत,347.5050926208496,3,11,4,0,10,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.0,0.36363636363636365
3414,wgpl,डब्ल्यूजीपीएल,वग्पल,363.27457427978516,4,13,5,0,10,0.7692307692307693,0.7692307692307693,0.23076923076923073,0.07692307692307693,0.38461538461538464
295,bmwm,बीएमडब्ल्यूएम,बमवम,351.8486022949219,4,13,4,0,10,0.7692307692307693,0.7692307692307693,0.23076923076923073,0.15384615384615385,0.3076923076923077
4481,equipment,इक्विपमेंट,ekwipimint,361.09232902526855,9,10,10,0,10,1.0,1.0,0.0,0.0,1.0
1793,dow,डीओडब्ल्यू,दौ,323.5630989074707,3,10,2,0,10,1.0,1.0,0.0,0.0,0.2
4733,rswm,आरएसडब्ल्यूएम,रस्वम्,352.20837593078613,4,13,6,0,10,0.7692307692307693,0.7692307692307693,0.23076923076923073,0.0,0.46153846153846156
2931,dwn,डीडब्ल्यूएन,द्वन्,347.5301265716553,3,11,5,0,10,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.09090909090909091,0.45454545454545453
8484,contemporary,कंटेम्पररी,kɔntɪˈmɛri,459.7892761230469,12,10,10,0,10,1.0,1.0,0.0,0.0,1.0
777,qiwi,क्यूआईडब्ल्यूआई,क्यूई,335.0043296813965,4,15,5,0,10,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.26666666666666666,0.3333333333333333
1523,nrdwp,एनआरडीडब्ल्यूपी,नर्द्वप,373.1193542480469,5,15,7,0,10,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,0.4666666666666667
206,pwid,पीडब्ल्यूआईडी,प्विड,332.12876319885254,4,13,5,0,10,0.7692307692307693,0.7692307692307693,0.23076923076923073,0.07692307692307693,0.38461538461538464
92,wccl,डब्ल्यूसीसीएल,व्क्ल,338.1023406982422,4,13,5,0,10,0.7692307692307693,0.7692307692307693,0.23076923076923073,0.0,0.38461538461538464
1097,dwf,डीडब्ल्यूएफ,द्वफ़,349.365234375,3,11,5,0,10,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.0,0.45454545454545453
4056,collierville,कोलिरिबल,kolieravil,333.6927890777588,12,8,10,0,10,1.0,1.25,0.0,0.0,1.25
586,win,डब्ल्यूआईएन,विन,336.0152244567871,3,11,3,0,10,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.0,0.2727272727272727
160,wef,डब्ल्यूईएफ,वेफ,325.84381103515625,3,10,3,0,9,0.9,0.9,0.09999999999999998,0.0,0.3
2484,wpd,डब्ल्यूपीडी,व्प्द,339.74194526672363,3,11,5,0,9,0.8181818181818182,0.8181818181818182,0.18181818181818177,0.0,0.45454545454545453
785,dristreebyootree,ड्रिस्ट्रीब्यूट्री,दृश्त्रीबूत्री,391.9410705566406,16,18,14,0,9,0.5,0.5,0.5,0.1111111111111111,0.7777777777777778
